chemical,Drug
CIDs00091061,Alphadolone Acetate
CIDs00091476,Lactitol
CIDs00091488,Fluocinolone
CIDs00091610,Gliquidone
CIDs00092253,Levobupivacaine
CIDs00092727,Lopinavir
CIDs00092863,Penicillamine
CIDs00103023,Sorbitan
CIDs00104741,Fulvestrant
CIDs00104760,Yttrium-90
CIDs00104838,Imipenem
CIDs00104845,Alphaxalone
CIDs00104865,Bosentan
CIDs00104976,Molybdenum-99
CIDs00105162,Fluorine-18
CIDs00107807,Perindopril
CIDs00108061,Disperse Blue 106
CIDs00110635,Tadalafil
CIDs00115237,Paliperidone
CIDs00119607,Valdecoxib
CIDs00119828,Parecoxib
CIDs00121892,Retigabine
CIDs00122262,Piperaquine
CIDs00123606,Almotriptan
CIDs00123631,Gefitinib
CIDs00124087,Desloratadine
CIDs00126941,Methotrexate
CIDs00129211,Tamsulosin
CIDs00129228,Rufinamide
CIDs00130313,Sulbactam
CIDs00131204,Dexpanthenol
CIDs00131682,Safinamide
CIDs00132971,Abiraterone
CIDs00132999,Ivabradine
CIDs00134018,Febuxostat
CIDs00134019,Pixantrone
CIDs00134780,Pomalidomide
CIDs00145068,Nitric Oxide
CIDs00146570,Escitalopram
CIDs00148192,Atazanavir
CIDs00149096,Levofloxacin
CIDs00150311,Ezetimibe
CIDs00150610,Ertapenem
CIDs00151166,Lumiracoxib
CIDs00154417,Hyoscyamine
CIDs00156054,Almasilate
CIDs00156391,Naproxen
CIDs00157920,Lubiprostone
CIDs00158781,Olmesartan
CIDs00159269,Telbivudine
CIDs00160051,Colesevelam
CIDs00162637,Sodium Tartrate
CIDs00166548,Anidulafungin
CIDs00170361,Varenicline
CIDs00171758,Temocillin
CIDs00174174,Atropine
CIDs00176870,Erlotinib
CIDs00185460,Bilastine
CIDs00189821,Deflazacort
CIDs00193653,Carbocisteine
CIDs00193962,Etravirine
CIDs00203911,Deptropine
CIDs00208898,Dronedarone
CIDs00208908,Lapatinib
CIDs00213039,Darunavir
CIDs00213046,Lurasidone
CIDs00216210,Dabigatran
CIDs00216235,Sitaxsentan
CIDs00216237,Tolvaptan
CIDs00216239,Sorafenib
CIDs00216326,Lenalidomide
CIDs00219078,Lacosamide
CIDs00219084,Gadoxetic Acid
CIDs00221493,Cholic Acid
CIDs00222786,Cortisone
