Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
ATAZANAVIR,CHEMBL1163,CHEMBL372,Homo sapiens,5230159,CHEMBL1676389,Cmax,10247.28,nM,CHEMBL1671733
ATAZANAVIR,CHEMBL1163,CHEMBL376,Rattus norvegicus,18502318,CHEMBL4189578,Cmax,266.0,nM,CHEMBL4184322
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,19206887,CHEMBL4392388,Cmax,266.0,nM,CHEMBL4390686
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,22802670,CHEMBL4711776,Cmax,266.0,nM,CHEMBL4706615
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,22802675,CHEMBL4711781,Cmax,5110.0,nM,CHEMBL4706615
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,24829323,CHEMBL5142440,Cmax,266.0,nM,CHEMBL5137093
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,24829435,CHEMBL5142448,Cmax,5110.0,nM,CHEMBL5137093
ATAZANAVIR,CHEMBL1163,CHEMBL612558,ADMET,24829687,CHEMBL5142526,Cmax,2514.0,nM,CHEMBL5137093
ATOMOXETINE,CHEMBL641,CHEMBL376,Rattus norvegicus,2397417,CHEMBL952377,Cmax,665.73,nM,CHEMBL1152288
ATORVASTATIN,CHEMBL1487,CHEMBL372,Homo sapiens,18033965,CHEMBL4008091,Cmax,5.03,nM,CHEMBL4007395
AXITINIB,CHEMBL1289926,CHEMBL375,Mus musculus,16883602,CHEMBL3881073,Cmax,60960.46,nM,CHEMBL3880421
AXITINIB,CHEMBL1289926,CHEMBL375,Mus musculus,16883648,CHEMBL3881074,Cmax,35681.02,nM,CHEMBL3880421
AXITINIB,CHEMBL1289926,CHEMBL375,Mus musculus,16883695,CHEMBL3881076,Cmax,1865.56,nM,CHEMBL3880421
AXITINIB,CHEMBL1289926,CHEMBL375,Mus musculus,16883739,CHEMBL3881077,Cmax,9200.99,nM,CHEMBL3880421
AZATHIOPRINE,CHEMBL1542,CHEMBL372,Homo sapiens,16541801,CHEMBL3790079,Cmax,79.35,nM,CHEMBL3784923
