Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
4.4,0,0,2,0,5,8,0,16678941,452.11837800,452.4,0,33,0,776,1,97.8,452.11837800
8.7,0,0,1,0,10,2,1,6437380,527.154948,528.9,1,35,0,671,1,23.5,527.154948
4.2,0,0,2,0,4,4,0,151166,293.0618845,293.72,0,20,0,342,1,49.3,293.0618845
5.4,0,0,0,0,5,6,0,213046,492.25589758,492.7,0,35,6,804,1,85,492.25589758
3.9,0,0,4,0,4,14,0,57327016,784.27781479,784.9,0,56,7,1530,1,190,784.27781479
N/A,0,1,14,0,23,26,0,76966897,1608.51510,1609.5,0,101,10,2690,2,557,1608.51510
-4.4,0,0,9,0,10,13,0,54707177,602.25879342,602.6,0,43,6,1230,1,243,602.25879342
4.5,0,0,1,0,1,1,0,5857,284.214015512,284.4,0,21,6,523,1,20.2,284.214015512
-3,0,0,3,0,5,4,0,5962,146.105527694,146.19,0,10,1,106,1,89.3,146.105527694
2.7,0,0,2,0,3,2,0,28864,338.21066147,338.4,0,25,2,544,1,51.4,338.21066147
3.7,0,0,2,0,11,10,0,16004692,587.96130,588.3,0,32,0,642,1,137,585.96335
-1.4,0,0,2,0,1,2,0,174,62.036779430,62.07,0,4,0,6,1,40.5,62.036779430
N/A,0,0,32,0,0,40,0,122706784,1114.755409,1115.3,0,57,0,62.2,49,209,1111.757062
N/A,0,0,0,0,0,0,0,5462224,23.9850417,24.305,0,1,0,0,1,0,23.9850417
N/A,0,0,0,0,0,3,0,11029,83.9697855,84.31,0,5,0,18.8,2,63.2,83.9697855
N/A,0,0,2,0,0,2,0,73981,57.9905210,58.320,0,3,0,0,3,2,57.9905210
N/A,0,0,0,0,0,1,0,14792,39.9799563,40.305,0,2,0,2,1,17.1,39.9799563
N/A,0,0,0,0,30,4,0,11177,590.5124524,591.2,0,41,0,196,3,80.3,590.5124524
N/A,0,0,0,0,2,8,0,5311266,259.8601799,260.86,0,13,0,141,3,145,259.8601799
2.4,0,0,0,0,11,8,1,4004,330.03606767,330.4,0,19,0,341,1,128,330.03606767
-1.3,0,0,3,0,3,5,1,525,134.02152329,134.09,0,9,0,129,1,94.8,134.02152329
0.6,0,0,2,0,2,3,1,1292,152.047344113,152.15,0,11,0,138,1,57.5,152.047344113
N/A,0,0,0,0,0,0,0,23930,54.938043,54.93804,0,1,0,0,1,0,54.938043
-3.1,0,0,6,0,5,6,0,6251,182.07903816,182.17,0,12,4,105,1,121,182.07903816
4.6,0,0,1,0,4,1,0,4011,277.183049738,277.4,0,21,0,339,1,12,277.183049738
5.1,0,0,1,0,8,6,0,3002977,513.32791727,513.7,0,37,3,751,1,63.1,513.32791727
2.2,0,0,4,0,4,6,0,471161,375.0752615,376.2,0,24,4,447,1,99.8,375.0752615
2.1,0,0,2,0,4,3,0,117761397,273.147726857,273.33,0,20,1,411,1,61.4,273.147726857
2.2,0,0,1,0,1,2,1,4020,284.0716407,284.74,0,20,0,419,1,35.8,284.0716407
2.8,0,0,2,0,4,4,0,4030,295.09569129,295.29,0,22,0,423,1,84.1,295.09569129
5.2,0,0,0,0,14,6,1,4031,429.25152322,429.5,0,31,0,494,1,57.2,429.25152322
3.5,0,0,0,0,2,1,0,22530,276.162648646,276.4,0,21,0,349,1,8.2,276.162648646
-0.1,0,0,3,0,7,6,0,54158,386.04773,387.23,0,23,0,443,1,107,386.04773
5.8,0,0,0,0,5,2,1,4034,390.1862766,390.9,0,28,0,447,1,6.5,390.1862766
-0.5,0,0,2,0,3,4,0,29145,135.03539970,135.19,0,8,1,86.1,1,53.3,135.03539970
4.4,0,0,0,0,1,2,0,4041,270.0923762,270.75,0,19,0,336,1,15.6,270.0923762
-3.3,0,0,4,0,2,6,0,16124,175.96396190,176.00,0,9,0,151,1,115,175.96396190
3.5,0,0,1,0,1,3,0,10631,344.23514488,344.5,0,25,7,664,1,54.4,344.23514488
5.1,0,0,2,0,3,3,0,4044,241.110278721,241.28,0,18,0,292,1,49.3,241.110278721
3.6,0,0,2,0,2,9,0,40692,378.11668211,378.31,0,26,2,483,1,45.2,378.11668211
0.9,0,0,1,0,5,7,1,4047,382.0423918,382.9,0,23,0,628,1,124,382.0423918
